source,target,type,confidence,description
疾病_0,症状_4,相关症状,1.0,糖尿病的典型症状包括多饮
疾病_0,症状_5,相关症状,1.0,糖尿病的典型症状包括多食
疾病_0,症状_6,相关症状,1.0,糖尿病的典型症状包括多尿
疾病_0,症状_7,相关症状,1.0,糖尿病的典型症状包括体重减轻
疾病_0,药物_8,治疗药物,0.95,胰岛素是用于治疗糖尿病的一种药物，通过调节血糖水平来控制病情。
疾病_0,药物_9,治疗药物,0.95,二甲双胍是一种常用于治疗2型糖尿病的药物，通过降低肝脏糖原的分解和增加肌肉对葡萄糖的敏感性来控制血糖水平。
疾病_0,并发症_10,导致,1.0,糖尿病可能导致糖尿病视网膜病变
疾病_0,并发症_11,导致,1.0,糖尿病可能导致糖尿病肾病
疾病_0,并发症_12,导致,1.0,糖尿病可能导致糖尿病神经病变
疾病_0,并发症_13,导致,1.0,糖尿病可能导致糖尿病足
疾病_0,解剖部位_14,影响,0.9,糖尿病影响胰岛β细胞的功能，导致胰岛素分泌不足或完全缺失。
疾病_0,检查项目_15,检查手段,0.95,血糖检测是用于监测糖尿病患者血糖水平的一种常见检查手段。
疾病_0,检查项目_16,检查手段,0.95,糖化血红蛋白检测是用于评估糖尿病患者长期血糖控制情况的一种检查手段。
疾病_0,治疗方法_17,治疗,0.95,饮食控制是糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_0,治疗方法_18,治疗,0.9,运动治疗可以作为糖尿病的一种非药物治疗方法，帮助控制血糖水平。
疾病_0,病因_19,导致,0.9,胰岛素抵抗是糖尿病的一个重要病因，它导致身体对胰岛素的反应减弱，进而可能引发糖尿病。
疾病_1,症状_4,表现为,0.9,1型糖尿病常表现为多饮症状
疾病_1,症状_5,相关症状,0.9,1型糖尿病患者由于胰岛素缺乏，导致葡萄糖无法有效被细胞利用，身体能量供应不足，从而引发多食症状。
疾病_1,症状_6,表现为,0.95,1型糖尿病的一个常见症状是多尿，这是由于高血糖导致肾脏过滤过多的葡萄糖，进而增加尿量。
疾病_1,症状_7,表现为,0.9,1型糖尿病可能导致体重减轻，因为身体无法有效利用葡萄糖作为能量来源，转而分解脂肪和肌肉组织。
疾病_1,药物_8,治疗药物,1.0,胰岛素是1型糖尿病的主要治疗药物，用于调节血糖水平。
疾病_1,药物_9,可用药物,0.7,二甲双胍是一种口服降糖药，虽然主要用于治疗2型糖尿病，但在某些情况下也可用于1型糖尿病患者，尤其是那些伴有胰岛素抵抗的患者。
疾病_1,并发症_10,导致,0.95,1型糖尿病长期未得到有效控制可能导致糖尿病视网膜病变，这是一种常见的糖尿病并发症。
疾病_1,并发症_11,导致,0.9,1型糖尿病长期未得到有效控制可能导致糖尿病肾病
疾病_1,并发症_12,导致,0.9,1型糖尿病长期血糖控制不佳可能导致糖尿病神经病变
疾病_1,并发症_13,导致,0.9,1型糖尿病可能导致糖尿病足，这是一种常见的并发症，由于长期高血糖损害神经和血管，导致足部感染和溃疡。
疾病_1,解剖部位_14,影响,0.95,1型糖尿病是由于胰岛β细胞被自身免疫系统破坏，导致胰岛素分泌不足而引起的疾病。
疾病_1,检查项目_15,检查手段,0.95,血糖检测是用于监测1型糖尿病患者血糖水平的重要检查手段。
疾病_1,检查项目_16,检查手段,0.95,糖化血红蛋白检测用于评估1型糖尿病患者的长期血糖控制情况。
疾病_1,治疗方法_17,治疗,0.8,饮食控制是管理1型糖尿病的一种方法，通过调节饮食来控制血糖水平。
疾病_1,治疗方法_18,治疗,0.8,运动治疗可以作为1型糖尿病的一种辅助治疗方法，帮助控制血糖水平。
疾病_2,症状_4,表现为,0.95,2型糖尿病患者常表现为多饮症状，这是由于高血糖导致体内水分丢失增多，引发口渴感增强。
疾病_2,症状_5,相关症状,0.9,多食是2型糖尿病的常见症状之一，由于胰岛素抵抗或胰岛素分泌不足导致血糖利用障碍，患者常感到饥饿。
疾病_2,症状_6,表现为,0.95,2型糖尿病患者常表现为多尿症状，这是由于高血糖导致肾脏过滤过多的葡萄糖，进而增加尿量。
疾病_2,症状_7,表现为,0.9,2型糖尿病可能导致体重减轻，这是由于体内胰岛素不足或抵抗，导致身体无法有效利用葡萄糖作为能量来源，转而分解脂肪和肌肉组织。
疾病_2,药物_8,治疗药物,0.9,胰岛素用于治疗2型糖尿病，帮助控制血糖水平。
疾病_2,药物_9,治疗药物,0.95,二甲双胍是用于治疗2型糖尿病的常用药物，通过降低肝糖原的生成和增加胰岛素敏感性来控制血糖水平。
疾病_2,并发症_10,导致,0.95,2型糖尿病可以导致糖尿病视网膜病变，这是一种由于长期高血糖水平引起的视网膜血管损伤。
疾病_2,并发症_11,导致,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病肾病的发生。
疾病_2,并发症_12,导致,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病神经病变，这是一种常见的糖尿病并发症。
疾病_2,并发症_13,引起,0.9,2型糖尿病长期未得到有效控制可能导致糖尿病足的发生。
疾病_2,解剖部位_14,影响,0.95,2型糖尿病会影响胰岛β细胞的功能，导致胰岛素分泌不足或胰岛素抵抗。
疾病_2,检查项目_15,检查手段,0.95,血糖检测是用于监测和诊断2型糖尿病的一种常见检查手段。
疾病_2,检查项目_16,检查手段,0.95,糖化血红蛋白检测用于评估2型糖尿病患者的长期血糖控制情况。
疾病_2,治疗方法_17,治疗,0.9,饮食控制是2型糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_2,治疗方法_18,治疗,0.9,运动治疗被广泛推荐作为2型糖尿病的管理和治疗方法之一，有助于改善血糖控制和整体健康。
疾病_2,病因_19,导致,0.95,胰岛素抵抗是2型糖尿病的主要病因之一，它导致身体对胰岛素的反应减弱，进而引发血糖水平升高。
疾病_3,症状_4,相关症状,0.85,妊娠糖尿病可能导致多饮症状，因为高血糖水平会促使身体试图通过增加尿液排出多余的糖分，从而导致口渴和多饮。
疾病_3,症状_5,相关症状,0.8,妊娠糖尿病可能导致多食作为其症状之一。
疾病_3,症状_6,表现为,0.9,妊娠糖尿病可能导致多尿症状
疾病_3,症状_7,相关症状,0.7,妊娠糖尿病可能导致体重减轻，尽管这种情况较为少见，但在某些情况下，由于胰岛素抵抗和代谢变化，患者可能会出现体重减轻的症状。
疾病_3,药物_8,治疗药物,0.9,胰岛素可用于治疗妊娠糖尿病，帮助控制血糖水平。
疾病_3,药物_9,治疗药物,0.85,二甲双胍可用于治疗妊娠糖尿病，尤其是在饮食和运动控制不佳时。
疾病_3,并发症_10,引起,0.85,妊娠糖尿病如果未能得到有效控制，长期高血糖状态可能导致糖尿病视网膜病变，这是一种糖尿病的并发症。
疾病_3,并发症_12,引起,0.85,妊娠糖尿病如果未能得到有效控制，长期高血糖状态可能导致糖尿病神经病变。
疾病_3,解剖部位_14,影响,0.85,妊娠糖尿病可能影响胰岛β细胞的功能，导致胰岛素分泌不足或胰岛素抵抗。
疾病_3,检查项目_15,检查手段,0.95,血糖检测是用于诊断和监测妊娠糖尿病的一种常见检查手段。
疾病_3,检查项目_16,检查手段,0.8,糖化血红蛋白检测可用于监测妊娠糖尿病患者的血糖控制情况，但通常不作为诊断妊娠糖尿病的首选方法。
疾病_3,治疗方法_17,治疗,0.95,饮食控制是妊娠糖尿病的一种治疗方法，通过调整饮食结构和摄入量来控制血糖水平。
疾病_3,治疗方法_18,治疗,0.8,运动治疗可以作为妊娠糖尿病的一种非药物治疗方法，帮助控制血糖水平。
疾病_3,病因_19,引起,0.9,胰岛素抵抗是妊娠糖尿病的一个重要病因，它导致身体对胰岛素的反应减弱，从而引起血糖水平升高。
症状_4,药物_8,关联,0.8,多饮可能是糖尿病的症状之一，而胰岛素是用于治疗糖尿病的药物，因此多饮与胰岛素之间存在间接关联。
症状_4,药物_9,关联,0.8,二甲双胍是一种用于治疗2型糖尿病的药物，而多饮（即频繁饮水）是糖尿病的常见症状之一。因此，二甲双胍可能通过控制血糖水平间接影响多饮症状。
症状_4,并发症_10,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病视网膜病变是糖尿病的并发症。因此，多饮与糖尿病视网膜病变通过糖尿病这一共同因素间接关联。
症状_4,并发症_11,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病肾病是糖尿病的一种并发症。因此，多饮与糖尿病肾病之间存在间接关联，通过糖尿病这一中介。
症状_4,并发症_12,关联,0.8,多饮是糖尿病的常见症状之一，而糖尿病神经病变是糖尿病的并发症。因此，多饮与糖尿病神经病变通过糖尿病这一共同点间接关联。
